accelerometer_X,accelerometer_Y,accelerometer_Z,name_id,file_id
0.914585,-10.97502,-0.167594,4,0
-6.497863,-18.2917,-3.773262,4,0
-10.103531,-11.851298,3.414132,4,0
-13.690045,-25.866954999999997,-3.150769,4,0
-12.703634,-12.23437,-1.331176,4,0
-4.362235,7.584830999999999,7.876924000000001,4,0
-0.3830719999999999,-14.188039000000002,-3.974375,4,0
-5.549759,-9.572019,-7.685387,4,0
-0.435745,-10.477027,-3.217807,4,0
-1.120486,0.708684,3.806781,4,0
-1.37906,-6.153098,-1.225831,4,0
0.967258,-7.1490860000000005,1.632846,4,0
0.062249,-13.350069,-3.438074,4,0
-13.120225,-19.948488,-4.194641000000001,4,0
-4.031835,-6.545747,-2.102109,4,0
-2.978387,-9.385271,-0.301669,4,0
-4.505887,-23.238123,0.1819589999999999,4,0
-6.4068830000000005,-12.411542,3.3614589999999995,4,0
-9.054871,-23.616405,-17.022774,4,0
-2.264915,-12.11466,-0.967257,4,0
-18.598158,-16.438589999999998,-20.738573,4,0
-3.078943,-9.528923,-2.523488,4,0
-1.393425,0.2585739999999999,4.10845,4,0
-0.7661439999999999,-7.757213,0.268151,4,0
2.25055,-6.952761,1.628057,4,0
-0.919373,-6.617572999999999,0.775721,4,0
-12.976573,-14.283808,6.306328,4,0
-2.777274,-7.029375999999999,0.612916,4,0
-11.300632,-12.646173,-2.164358,4,0
1.594538,-9.289502,19.685127,4,0
6.737284,-12.650962,4.165911,4,1
0.483629,-15.863979999999998,-2.810793,4,1
-2.576161,-14.283808,-7.249642999999999,4,1
-1.944092,-9.232041,-0.11971,4,1
-0.6608,-2.715025,-2.15957,4,1
-0.555455,-8.178592,-0.641646,4,1
-4.754884,-11.453861,-0.6464340000000001,4,1
-6.047753,-7.402871,10.022128,4,1
-5.7029879999999995,-12.052411,-1.1300629999999998,4,1
1.82917,-10.266336,18.698715,4,1
-1.11091,-15.275007,-2.102109,4,1
-5.056554,-11.473015,-12.607866,4,1
1.082179,-9.940725,-0.316035,4,1
-2.432509,-1.288081,3.203442,4,1
0.263362,-7.661445,0.105345,4,1
-0.536301,-2.092532,2.896984,4,1
-3.236961,-6.7516490000000005,-0.244209,4,1
-6.919242999999999,-11.774684,-0.799663,4,1
-7.196969999999999,-5.693412,2.202666,4,1
-9.844957,-11.971008,-1.5610190000000002,4,1
0.349553,-12.703634,14.920665,4,1
-3.701436,-14.437037,-3.701436,4,1
-8.159439,-6.038176,-2.992752,4,1
1.221043,-12.617443,1.01993,4,1
-2.221819,-0.344765,2.236184,4,1
-1.149217,-7.867347,-0.756568,4,1
1.197101,-10.960655,-1.599327,4,1
-2.37026,-17.477673,-2.624045,4,1
1.240197,-11.161768,-0.857124,4,1
-5.090072,-19.632454,-3.3279400000000003,4,1
-1.010353,-13.809755,-3.926491,4,2
-2.935291,-13.589489000000002,-14.255076999999998,4,2
-1.23062,-14.681245,-3.045424,4,2
-5.214571,-10.342952,-7.52737,4,2
-5.0086699999999995,-7.972691,-2.097321,4,2
-2.75812,-1.805228,1.23062,4,2
-2.236184,-9.749189,-1.719037,4,2
-2.5809490000000004,-9.983821,-1.929727,4,2
-3.730166000000001,-14.508862,8.355765,4,2
-2.566584,-12.583924,-5.583278,4,2
3.174712,-4.903325,-1.388637,4,2
-9.892841,-10.91756,1.015142,4,2
6.737284,-12.650962,4.165911,4,2
0.483629,-15.863979999999998,-2.810793,4,2
-2.576161,-14.283808,-7.249642999999999,4,2
-1.944092,-9.232041,-0.11971,4,2
-0.6608,-2.715025,-2.15957,4,2
-0.555455,-8.178592,-0.641646,4,2
-4.754884,-11.453861,-0.6464340000000001,4,2
-6.047753,-7.402871,10.022128,4,2
-5.7029879999999995,-12.052411,-1.1300629999999998,4,2
1.82917,-10.266336,18.698715,4,2
-1.11091,-15.275007,-2.102109,4,2
-5.056554,-11.473015,-12.607866,4,2
1.082179,-9.940725,-0.316035,4,2
-2.432509,-1.288081,3.203442,4,2
0.263362,-7.661445,0.105345,4,2
-0.536301,-2.092532,2.896984,4,2
-3.236961,-6.7516490000000005,-0.244209,4,2
-6.919242999999999,-11.774684,-0.799663,4,2
-0.363919,-3.083732,1.091756,4,3
-5.080496,-8.508992999999998,0.2489969999999999,4,3
-8.772355000000001,-13.833697,-0.8236049999999999,4,3
-4.055777,-8.959103,0.0909799999999999,4,3
-4.070143,-12.933477,5.31034,4,3
-9.303867,-14.441825,-7.800309,4,3
0.790087,-12.253524,-1.575385,4,3
-2.916138,-2.60968,1.675941,4,3
-3.174711,-9.629479,-1.94888,4,3
-8.020575,-14.662091,-1.527501,4,3
-3.260903,-3.064578,37.138855,4,3
-3.931279,-14.068329,6.052542,4,3
-14.45619,-15.107412,-13.393165,4,3
1.431733,-12.698846,-2.4085669999999997,4,3
-2.011129,-1.403002,2.097321,4,3
-1.877054,-9.428367,-2.499546,4,3
-10.093954,-13.819332,-1.192312,4,3
-0.919373,-2.0302830000000003,22.634783,4,3
0.201113,-12.531252,0.3830719999999999,4,3
-14.188039000000002,-19.895817,-11.219229,4,3
1.853112,-13.953407,-1.4604629999999998,4,3
-1.288081,-1.877054,0.976834,4,3
-0.3734949999999999,-8.973467999999999,-1.905785,4,3
-6.488286,-11.918336,-4.122815,4,3
-12.995727,-3.782838,-15.691598,4,3
0.272939,-17.750612,-1.158794,4,3
-8.51857,-11.722012,-14.317327,4,3
-4.266467,-7.273585000000001,-1.091756,4,3
-11.927913,-14.168885,-15.164873000000002,4,3
-1.867477,-7.599196000000001,1.1683709999999998,4,3
-19.541473,-22.85505,-12.406754,4,4
-4.1419690000000005,-13.038822,-0.411803,4,4
-10.366894,-12.368446,-9.41879,4,4
-1.393425,-13.235147,-2.2601259999999996,4,4
-16.79772,-12.310986,-15.040375,4,4
-5.521029,-7.905653999999999,-2.9975400000000003,4,4
-1.628057,0.349553,2.873042,4,4
-6.411672,-6.186617,-1.436521,4,4
-6.526593,-11.501745,-1.225831,4,4
-1.843535,-5.410896,12.77546,4,4
0.464475,-13.848063,-2.470816,4,4
-18.200722,-15.658079,-15.959748,4,4
-5.200206,-9.552865,-3.351882,4,4
-8.681376,-16.342821,-14.154520000000002,4,4
-2.4851810000000003,-10.615891,-1.584961,4,4
-2.30801,-0.885855,2.825158,4,4
-2.422932,-8.882488,-0.708684,4,4
-4.716577,-11.908759,-0.866701,4,4
-3.409343,-21.045033,-1.838747,4,4
-3.4189199999999995,-16.836026999999998,3.136404,4,4
-10.55843,-16.180016000000002,-13.627796,4,4
-12.138602,-17.477673,5.032612,4,4
-21.346703,-25.905262,-17.650055,4,4
-2.671929,-12.196063,-1.403002,4,4
-16.270994,-14.595054,-17.659632000000002,4,4
-4.458003,-6.8186860000000005,-2.269703,4,4
-0.708684,-1.532289,3.3375169999999996,4,4
-5.564124,-4.505887,-0.842759,4,4
0.914585,-10.97502,-0.167594,4,4
-6.497863,-18.2917,-3.773262,4,4
-3.122039,-8.528147,-1.805228,4,5
-1.206678,-3.174711,2.03986,4,5
-4.122815,-8.911219000000001,-1.517924,4,5
-8.528147,-12.081141,-0.272939,4,5
-6.028599,-1.163582,1.905785,4,5
-2.710236,-14.719551999999998,-2.571372,4,5
-16.462529999999997,-15.404294,-22.965183,4,5
-1.833958,-7.833828,3.394978,4,5
-1.532289,-3.969586,1.580173,4,5
-2.710236,-7.292738000000001,2.169147,4,5
-1.244985,-4.098873,1.221043,4,5
-5.640739,-8.049306,0.885855,4,5
-8.8777,-13.637373,-0.0430959999999999,4,5
-9.404425,-12.540829,-4.7788260000000005,4,5
-5.152322,-11.664551,-0.11971,4,5
-2.753332,-6.291962,-5.746084,4,5
-1.039083,-7.517792999999999,2.427721,4,5
-2.60968,-5.894524,-6.445191,4,5
-2.533065,-7.378928999999999,0.981623,4,5
0.967258,-6.8761470000000005,1.637634,4,5
-2.959233,-8.700529,-2.245761,4,5
-6.584053999999999,-11.971008,-0.8906430000000001,4,5
-2.1883,-9.404425,-7.675811,4,5
3.117251,-11.267113,-1.053449,4,5
-0.7852979999999999,-1.173159,2.226608,4,5
-7.139508999999999,-7.85777,-3.974375,4,5
-1.47004,-3.39019,2.1787240000000003,4,5
-5.3821650000000005,-8.542512,1.647211,4,5
-4.505887,-12.856863,5.568912999999999,4,5
-8.858546,-13.220781,-9.064447,4,5
-0.857124,-3.2561139999999997,2.006341,4,6
-4.118027,-9.174581,-0.670376,4,6
-8.350976,-14.920665,-1.182736,4,6
3.634398000000001,7.613562,24.109612,4,6
-4.352658,-12.550406,-1.489193,4,6
-9.514558,-10.247183,-9.11712,4,6
-3.744531,-8.437167,0.167594,4,6
-2.614468,-2.652775,3.897761,4,6
-1.321599,-8.729258999999999,-1.522712,4,6
-4.707,-10.563218,-1.762132,4,6
4.941633,-15.897499,23.367409,4,6
0.086191,-14.302960999999998,-3.519476,4,6
-6.0333879999999995,-10.907983,-9.830592,4,6
-2.456451,-15.820885,-2.954445,4,6
-3.380613,-7.608772999999999,-4.405330999999999,4,6
-4.343082,-7.522581,-2.528277,4,6
-1.201889,-3.581726,2.959233,4,6
-4.534618,-8.571242,0.057461,4,6
-7.354987,-12.646173,-1.005565,4,6
-9.605537,-11.865664,-9.581595,4,6
-1.096544,-11.640609,-0.751779,4,6
-1.924938,-7.28795,-3.792415,4,6
-4.869806,-7.704541000000001,-0.665588,4,6
-1.331176,-3.3279400000000003,1.484405,4,6
-5.195418,-8.652645,0.948104,4,6
-5.487509999999999,-10.400413,2.60968,4,6
-5.717354,-7.680599000000001,-5.90889,4,6
0.440533,-12.220005,-4.927267,4,6
-2.576161,-3.217807,1.374272,4,6
-4.501099,-7.987056,-1.584961,4,6
-2.0302830000000003,-7.254430999999999,-0.02873,4,7
-2.657564,0.430956,2.892196,4,7
-3.811569,-6.722917999999999,-1.637634,4,7
-0.464475,-10.721235,-0.895431,4,7
-5.8274870000000005,-13.512875,3.447651,4,7
-3.509899,-17.070657999999998,-1.934515,4,7
-4.434061,-6.004657,-3.543418,4,7
0.354342,-12.789825,-1.053449,4,7
-3.3279400000000003,-0.435745,3.093309,4,7
2.149993,-13.388376,-2.37026,4,7
-2.504335,-1.072602,1.024718,4,7
-2.777274,-7.244853999999999,-0.397437,4,7
-0.8044520000000001,-6.196194,2.547431,4,7
-1.244985,-12.339716,1.881843,4,7
-12.89517,-13.129802,5.564125,4,7
-10.611102,-22.874203,-14.049175,4,7
-2.317587,-10.955867,-1.489193,4,7
-2.245761,-7.0245869999999995,-7.177817,4,7
-0.47884,-12.162544,-1.484405,4,7
-0.215478,-1.326388,0.617704,4,7
-1.537077,-8.461109,0.1005559999999999,4,7
2.121263,-8.48984,1.283292,4,7
-4.122815,-7.728483,1.5466540000000002,4,7
-11.439496,-15.030798,6.354212,4,7
-9.208099,-20.561403,3.979163,4,7
-4.3478699999999995,-12.320562,-3.4811690000000004,4,7
1.977611,-1.580173,15.801731,4,7
-4.520251999999999,-12.330139,-3.77805,4,7
-4.692635,-10.630256,-15.691598,4,7
-3.864241,-7.690175999999999,-1.94888,4,7
